imageshack.us, 208.94.3.19
wordpress.com, 192.0.78.9
windows.com, 40.113.200.201
apple.com, 17.253.144.10
softonic.com, 35.227.233.104
hao123.com, 39.156.68.154
alipay.com, 110.75.139.5
mywebsearch.com, 34.102.244.163
paipai.com, 106.39.169.133
zynga.com, 13.225.53.66
pps.tv, 116.211.199.234
facebook.com, 69.171.250.35
partypoker.com, 195.72.134.91
hotmail.com, 204.79.197.212
facebook.com, 69.171.250.35
56.com, 183.232.65.145
fc2.com, 199.48.210.151
youtube.com, 172.217.12.14
hp.com, 15.73.104.147
ifeng.com, 123.103.122.24
360.cn, 36.110.213.10
youtube.com, 172.217.12.14
goo.ne.jp, 114.179.184.93
paypal.com, 64.4.250.37
yahoo.com, 98.137.11.163
xunlei.com, 39.104.2.218
walmart.com, 161.170.230.170
yahoo.com, 98.137.11.163
weather.com, 23.0.204.133
kugou.com, 183.131.48.92
live.com, 204.79.197.212
bbc.co.uk, 151.101.192.81
soku.com, 106.11.186.1
live.com, 204.79.197.212
wikipedia.org, 208.80.153.224
ebay.de, 209.140.148.143
tmall.com, 140.205.130.99
sogou.com, 119.28.109.132
yandex.ru, 5.255.255.55
wikipedia.org, 208.80.153.224
alibaba.com, 205.204.101.142
ku6.com, 117.50.1.222
youdao.com, 103.72.47.249
msn.com, 13.82.28.61
myspace.com, 63.135.90.70
msn.com, 13.82.28.61
about.com, 151.101.66.137
craigslist.org, 208.82.237.129
baidu.com, 220.181.38.148
renren.com, 120.133.2.243
mail.ru, 94.100.180.200
orkut.com.br, 200.160.2.95
baidu.com, 220.181.38.148
blogspot.com, 172.217.2.9
livedoor.jp, 203.104.153.16
blogspot.com, 172.217.2.9
cnet.com, 34.95.96.50
hotfile.com, 18.207.9.28
blogger.com, 172.217.11.233
microsoft.com, 40.113.200.201
microsoft.com, 40.113.200.201
go.com, 23.236.60.174
qiyi.com, 111.206.13.63
pconline.com.cn, 219.136.244.85
vkontakte.ru, 87.240.137.158
qq.com, 183.3.226.35
taobao.com, 140.205.94.189
orkut.com, 216.239.34.21
4399.com, 129.211.129.109
qq.com, 183.3.226.35
jp.msn.com, 13.88.15.24
bing.com, 204.79.197.200
taobao.com, 140.205.94.189
answers.com, 151.101.128.203
bing.com, 204.79.197.200
skype.com, 104.40.50.126
odnoklassniki.ru, 217.20.147.1
rapidshare.com, 0.0.0.0
sina.com.cn, 123.125.104.150
daum.net, 203.133.167.81
ameblo.jp, 151.101.2.133
sina.com.cn, 123.125.104.150
soso.com, 119.28.109.132
7k7k.com, 157.185.175.102
soso.com, 119.28.109.132
naver.com, 223.130.195.95
2345.com, 180.101.190.124
flickr.com, 65.8.237.125
163.com, 123.58.180.8
photobucket.com, 65.8.242.23
163.com, 123.58.180.8
ask.com, 151.101.70.114
4shared.com, 204.155.149.42
ask.com, 151.101.70.114
adobe.com, 104.124.58.137
adobe.com, 104.124.58.137
mediafire.com, 104.16.202.237
amazon.co.jp, 52.119.168.48
twitter.com, 104.244.42.65
linkedin.com, 13.107.42.14
twitter.com, 104.244.42.65
ehow.com, 96.6.84.113
youku.com, 106.11.43.215
mozilla.com, 44.235.246.155
mozilla.com, 44.235.246.155
megaupload.com not resolved 
seesaa.net, 143.204.33.109
youku.com, 106.11.43.215
imdb.com, 52.94.228.167
sdjjdsaf.com not resolved 
aol.com, 106.10.248.150
dailymotion.com, 195.8.215.136
sdjjdsaf.com not resolved 
andysayler.com, 159.89.253.85
andysayler.com, 159.89.253.85
rakuten.co.jp, 133.237.16.234
wmfo.org, 23.92.21.128
tianya.cn, 124.225.206.22
ebay.com, 64.4.253.77
cnn.com, 151.101.193.67
nifty.com, 222.158.213.148
wmfo.org, 23.92.21.128
sohu.com, 211.159.191.77
tudou.com, 106.11.43.71
amazon.com, 54.239.28.85
yahoo.co.jp, 183.79.135.206
